resource,label
http://example.com/StamentTrump_BBC_1,https://ichef.bbci.co.uk/news/976/cpsprodpb/13E18/production/_116923418_21e80ad3-11f0-4fcf-a3f4-42c19ce312ab.jpg.webp
http://example.com/statementDG_BBC_1,We're taking our country back.
http://example.com/statementCBBC_BBC_1,"It was clear he was communicating - getting messages, sending messages to somebody"
http://example.com/StamentTrump_BBC_2,I know that everyone here will soon be marching over to the Capitol building to peacefully and patriotically make your voices heard
http://example.com/crowd_statement_BBC_1,Fight for Trump.
http://example.com/Statement_officer_1_BBC,"We're going to give riot warnings, he says. We're going to try to get compliance but this is now effectively a riot."
http://example.com/protestors_statement_1,Mr Pence to be hanged.
http://example.com/riotersStatement_1,Where are you Nancy?
http://example.com/riotersStatement_1,"Is this the Senate? one demands to know. Where are they? another asks, apparently referring to the evacuated senators."
http://example.com/statementUnkown_1,"Folks have entered the rotunda and are coming this way,"
http://example.com/statementEricSwalwell_1,I love you and the babies. Please hug them for me
http://example.com/statementTubervilleBBC_1,"I said: Mr President, they've taken the vice-president out. They want me to get off the phone, I gotta go."
http://example.com/statementHIM_1,it is further evidence that the president knew how much danger his vice-president was in.
http://example.com/rioter_1,A rioter uses a baton to smash through as the crowd around him chants
http://example.com/officer_1,"Footage shows the hands of an officer on the other side, holding a gun and pointing it toward the mob. We hear a shot and see Babbitt fall to the ground"
http://example.com/aGroup,"In a hallway outside the House chamber, a group attempts to force its way through a set of locked doors. The glass window panes on the doors are shattered."
http://example.com/statementHallwayGroup_1,"break it down, break it down"
http://example.com/E_BBC_10,Ashli Babbit is seen turning the corner towards the House lobby doors as members are leaving. House Rules Committee Chairman James McGovern is spotted by the mob as he leaves the House floor.
http://example.com/stamentTrump_BBC_4,https://ichef.bbci.co.uk/news/976/cpsprodpb/1217F/production/_116911147_39f9847d-9869-42ae-8148-262d4329f3ba.jpg.webp
http://example.com/E_BBC_11,"Meanwhile the mob are still at the Capitol.Footage shows a sprawling mob, a sea of people on the Capitol grounds. A Confederate flag waves in the foreground."
http://example.com/stamentTrump_BBC_5,remain peaceful
http://example.com/policeStatement_1,police confirm Ashli Babbitt has died
http://example.com/stamentTrump_BBC_6,Trump releases a video in which he tells the mob to go home.
http://example.com/StamentTrump_BBC_3,"We fight. We fight like hell and if you don't fight like hell, you're not going to have a country anymore. So let's walk down Pennsylvania Avenue."
http://example.com/statementCapitolPd_1,"Theyre throwing metal poles at us, he says. Multiple law-enforcement injuries, he adds in a panicked voice"
http://example.com/statementCapitolPd_2,Capitol police send an evacuation warning.
http://example.com/statementStaffMember_1,They're pounding on doors trying to find her.
http://example.com/rioterStatement_2, There's got to be something we can use against these scumbags
http://example.com/stamentTrump_BBC_7,He refers to those at the Capitol as great patriots
